>./09.fa.txt_orf00002 >./17.fa.txt_orf06616_rev >./49.fa.txt_orf02035 >./51.fa.txt_orf01134
>./09.fa.txt_orf00041 >./17.fa.txt_orf10493 >./49.fa.txt_orf00187_rev >./51.fa.txt_orf01393_rev
>./09.fa.txt_orf00043 >./17.fa.txt_orf05251 >./49.fa.txt_orf01919 >./51.fa.txt_orf01031
>./09.fa.txt_orf00044 >./17.fa.txt_orf02665_rev >./49.fa.txt_orf02738_rev >./51.fa.txt_orf00876
>./09.fa.txt_orf00046 >./17.fa.txt_orf02663_rev >./49.fa.txt_orf02737_rev >./51.fa.txt_orf00878
>./09.fa.txt_orf00048_rev >./17.fa.txt_orf07883_rev >./49.fa.txt_orf04617_rev >./51.fa.txt_orf01523_rev
>./09.fa.txt_orf00049 >./17.fa.txt_orf08437_rev >./49.fa.txt_orf01194 >./51.fa.txt_orf00630_rev
>./09.fa.txt_orf00050_rev >./17.fa.txt_orf02345 >./49.fa.txt_orf03262_rev >./51.fa.txt_orf00406
>./09.fa.txt_orf00051_rev >./17.fa.txt_orf08997 >./49.fa.txt_orf00711 >./51.fa.txt_orf02271_rev
>./09.fa.txt_orf00052_rev >./17.fa.txt_orf00511 >./49.fa.txt_orf00679 >./51.fa.txt_orf01230_rev
>./09.fa.txt_orf00053_rev >./17.fa.txt_orf03640 >./49.fa.txt_orf03162_rev >./51.fa.txt_orf01574_rev
>./09.fa.txt_orf00054_rev >./17.fa.txt_orf05585_rev >./49.fa.txt_orf03182_rev >./51.fa.txt_orf01390
>./09.fa.txt_orf00055_rev >./17.fa.txt_orf12376 >./49.fa.txt_orf01404 >./51.fa.txt_orf01616
>./09.fa.txt_orf00056 >./17.fa.txt_orf01925_rev >./49.fa.txt_orf01645 >./51.fa.txt_orf00581
>./09.fa.txt_orf00057 >./17.fa.txt_orf01923_rev >./49.fa.txt_orf00959 >./51.fa.txt_orf00512_rev
>./09.fa.txt_orf00058 >./17.fa.txt_orf08323 >./49.fa.txt_orf05511_rev >./51.fa.txt_orf01805
>./09.fa.txt_orf00059 >./17.fa.txt_orf12541 >./49.fa.txt_orf03001_rev >./51.fa.txt_orf00935_rev
>./09.fa.txt_orf00061 >./17.fa.txt_orf13127 >./49.fa.txt_orf04180_rev >./51.fa.txt_orf00553_rev
>./09.fa.txt_orf00062 >./17.fa.txt_orf11828_rev >./49.fa.txt_orf01330_rev >./51.fa.txt_orf02459_rev
>./09.fa.txt_orf00063 >./17.fa.txt_orf06988_rev >./49.fa.txt_orf02839_rev >./51.fa.txt_orf00364_rev
>./09.fa.txt_orf00064 >./17.fa.txt_orf06380_rev >./49.fa.txt_orf03280_rev >./51.fa.txt_orf02563
>./09.fa.txt_orf00065_rev >./17.fa.txt_orf10926 >./49.fa.txt_orf01683 >./51.fa.txt_orf02189
>./09.fa.txt_orf00066_rev >./17.fa.txt_orf01616 >./49.fa.txt_orf05854 >./51.fa.txt_orf00009_rev
>./09.fa.txt_orf00067_rev >./17.fa.txt_orf05776_rev >./49.fa.txt_orf01679 >./51.fa.txt_orf02188
>./09.fa.txt_orf00068_rev >./17.fa.txt_orf11029 >./49.fa.txt_orf05598_rev >./51.fa.txt_orf02186
>./09.fa.txt_orf00069_rev >./17.fa.txt_orf14642_rev >./49.fa.txt_orf01707 >./51.fa.txt_orf02184
>./09.fa.txt_orf00070_rev >./17.fa.txt_orf09563 >./49.fa.txt_orf01019 >./51.fa.txt_orf02182
>./09.fa.txt_orf00071 >./17.fa.txt_orf06714_rev >./49.fa.txt_orf01471 >./51.fa.txt_orf00108
>./09.fa.txt_orf00072_rev >./17.fa.txt_orf03717_rev >./49.fa.txt_orf02746_rev >./51.fa.txt_orf00581
>./09.fa.txt_orf00073_rev >./17.fa.txt_orf09243 >./49.fa.txt_orf03167_rev >./51.fa.txt_orf00814_rev
>./09.fa.txt_orf00074_rev >./17.fa.txt_orf11252 >./49.fa.txt_orf05746 >./51.fa.txt_orf01197
>./09.fa.txt_orf00075_rev >./17.fa.txt_orf03305_rev >./49.fa.txt_orf03119_rev >./51.fa.txt_orf01439_rev
